id,host id,host_identity_verified,neighbourhood group,neighbourhood,lat,long,country code,cancellation_policy,room type,Construction year,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,price,service fee,instant_bookable_False,instant_bookable_True
1001254.0,80014485718.0,unconfirmed,Brooklyn,Kensington,40.64749,-73.97237,US,0.0,Private room,2020.0,10.0,9.0,10/19/2021,0.020020020020020016,4.0,0.09803921568627451,286.0,966,193.0,1.0,0.0
1002102.0,52335172823.0,verified,Manhattan,Midtown,40.75362,-73.98377,US,0.5,Entire home/apt,2007.0,30.0,45.0,5/21/2022,0.037037037037037035,4.0,0.0196078431372549,228.0,142,28.0,1.0,0.0
1002403.0,78829239556.0,unconfirmed,Manhattan,Harlem,40.80902,-73.9419,US,1.0,Private room,2005.0,3.0,0.0,,,5.0,0.0,352.0,620,124.0,0.0,1.0
1002755.0,85098326012.0,unconfirmed,Brooklyn,Clinton Hill,40.68514,-73.95976,US,0.5,Entire home/apt,2005.0,30.0,270.0,7/5/2019,0.46346346346346345,4.0,0.0,322.0,368,74.0,0.0,1.0
1003689.0,92037596077.0,verified,Manhattan,East Harlem,40.79851,-73.94399,US,0.5,Entire home/apt,2009.0,10.0,9.0,11/19/2018,0.00900900900900901,3.0,0.0,289.0,204,41.0,1.0,0.0
1004098.0,45498551794.0,verified,Manhattan,Murray Hill,40.74767,-73975.0,US,1.0,Entire home/apt,2013.0,3.0,74.0,6/22/2019,0.058058058058058054,3.0,0.0,374.0,577,115.0,0.0,1.0
1004650.0,61300605564.0,unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,US,0.5,Private room,2015.0,45.0,49.0,10/5/2017,0.03903903903903904,5.0,0.0,224.0,71,14.0,1.0,0.0
1005202.0,90821839709.0,unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,US,0.5,Private room,2009.0,45.0,49.0,10/5/2017,0.03903903903903904,5.0,0.0,219.0,"1,06",212.0,1.0,0.0
1005754.0,79384379533.0,verified,Manhattan,Hell's Kitchen,40.76489,-73.98493,US,0.0,Private room,2005.0,2.0,430.0,6/24/2019,0.34634634634634637,3.0,0.0,180.0,"1,018",204.0,0.0,1.0
1006307.0,75527839483.0,unconfirmed,Manhattan,Upper West Side,40.80178,-73.96723,US,0.0,Private room,2015.0,2.0,118.0,7/21/2017,0.0980980980980981,5.0,0.0,375.0,291,58.0,1.0,0.0
1006859.0,1280143094.0,verified,Manhattan,Chinatown,40.71344,-73.99037,US,1.0,Entire home/apt,2004.0,1.0,160.0,6/9/2019,0.13213213213213212,3.0,0.058823529411764705,1.0,319,64.0,1.0,0.0
1007411.0,18824631834.0,verified,Manhattan,Upper West Side,40.80316,-73.96545,US,1.0,Entire home/apt,2008.0,5.0,53.0,6/22/2019,0.04204204204204204,4.0,0.0,163.0,606,121.0,0.0,1.0
1007964.0,88136055909.0,verified,Manhattan,Hell's Kitchen,40.76076,-73.98867,US,0.0,Private room,2008.0,2.0,188.0,6/23/2019,0.14914914914914915,4.0,0.0,258.0,714,143.0,1.0,0.0
1008516.0,26802410424.0,verified,brookln,South Slope,40.66829,-73.98779,US,0.5,Private room,2010.0,4.0,167.0,6/24/2019,0.13313313313313313,4.0,0.0392156862745098,47.0,580,116.0,0.0,1.0
1009068.0,88920244552.0,verified,Manhattan,Upper West Side,40.79826,-73.96113,US,1.0,Private room,2019.0,2.0,113.0,7/5/2019,0.09009009009009009,3.0,0.0,68.0,149,30.0,1.0,0.0
